TOTAL VALUE,TAX,LOT SQFT,GROSS AREA,LIVING AREA,FLOORS,ROOMS,BEDROOMS,FULL BATH,HALF BATH,KITCHEN,FIREPLACE
344.2,4330,9965,2436,1352,2,6,3,1,1,1,0
412.6,5190,6590,3108,1976,2,10,4,2,1,1,0
330.1,4152,7500,2294,1371,2,8,4,1,1,1,0
498.6,6272,13773,5032,2608,1,9,5,1,1,1,1
331.5,4170,5000,2370,1438,2,7,3,2,0,1,0
337.4,4244,5142,2124,1060,1,6,3,1,0,1,1
359.4,4521,5000,3220,1916,2,7,3,1,1,1,0
320.4,4030,10000,2208,1200,1,6,3,1,0,1,0
333.5,4195,6835,2582,1092,1,5,3,1,0,1,1
409.4,5150,5093,4818,2992,2,8,4,2,0,1,0
313,3937,5000,2624,1485,1.5,6,3,2,0,1,1
344.5,4333,6768,2844,1460,1.5,6,3,2,0,1,1
315.5,3968,5000,2196,1290,2,6,3,1,0,1,0
575,7233,12288,4616,2378,2,9,4,2,1,1,1
326.2,4103,5000,2536,1272,1.5,6,3,1,1,1,1
298.2,3751,5000,2129,864,1,7,3,2,0,1,0
313.1,3938,6949,2612,1438,1.5,7,3,1,1,1,0
344.9,4338,10000,2099,1445,1,7,3,1,1,1,1
330.7,4160,5000,2408,1470,2,7,3,1,0,1,0
348,4377,9001,2840,1632,2,7,3,1,0,1,0
317.5,3994,4450,1400,1232,2,7,3,1,0,1,0
330.8,4161,5000,2560,1302,1.5,6,2,1,0,1,0
357.8,4501,12255,2631,1275,1.5,6,3,1,1,1,1
414.7,5216,12972,3796,2054,1.5,6,3,3,0,1,0
318.8,4010,4717,2512,1371,2,7,3,1,1,1,0
346.2,4355,5000,2655,1541,2,7,3,1,0,1,0
245.1,3083,4142,1892,927,1.5,5,2,1,0,1,0
317.4,3992,5000,2596,1244,1.5,7,3,1,0,1,0
247.3,3111,4012,1994,1048,1.5,6,3,1,0,1,0
320.8,4035,13275,1516,808,1.5,6,2,1,1,1,0
328.8,4136,4717,2824,1469,1.5,6,3,2,0,1,0
293.6,3693,4289,2286,1436,2,7,3,1,0,1,0
280.1,3523,10688,3014,1625,2,7,4,1,0,1,0
342.5,4308,4717,2802,1620,2,7,3,1,1,1,0
337.2,4241,5000,3112,1906,2,9,4,2,0,1,0
336.5,4233,6842,2269,1393,2,6,3,2,0,1,0
315.6,3970,6675,2392,1394,1.5,6,2,2,0,1,0
296.5,3729,5683,2982,1452,1,6,3,1,1,1,1
239.7,3015,5450,2112,960,1,5,3,1,0,1,1
318.4,4005,4717,3222,1803,1,7,3,1,1,1,0
431.5,5428,6733,2880,1792,2,7,3,2,1,1,1
