day,season,weekday,workingday,weathersit,temp,windspeed,casual,registered,cnt
1,1,6,0,2,0.344167,0.160446,331,654,985
2,1,0,0,2,0.363478,0.248539,131,670,801
3,1,1,1,1,0.196364,0.248309,120,1229,1349
4,1,2,1,1,0.2,0.160296,108,1454,1562
5,1,3,1,1,0.226957,0.1869,82,1518,1600
6,1,4,1,1,0.204348,0.0895652,88,1518,1606
7,1,5,1,2,0.196522,0.168726,148,1362,1510
8,1,6,0,2,0.165,0.266804,68,891,959
9,1,0,0,1,0.138333,0.36195,54,768,822
10,1,1,1,1,0.150833,0.223267,41,1280,1321
11,1,2,1,2,0.169091,0.122132,43,1220,1263
12,1,3,1,1,0.172727,0.304627,25,1137,1162
13,1,4,1,1,0.165,0.301,38,1368,1406
14,1,5,1,1,0.16087,0.126548,54,1367,1421
15,1,6,0,2,0.233333,0.157963,222,1026,1248
16,1,0,0,1,0.231667,0.188433,251,953,1204
17,1,1,0,2,0.175833,0.194017,117,883,1000
18,1,2,1,2,0.216667,0.146775,9,674,683
19,1,3,1,2,0.292174,0.208317,78,1572,1650
20,1,4,1,2,0.261667,0.195904,83,1844,1927
21,1,5,1,1,0.1775,0.353242,75,1468,1543
22,1,6,0,1,0.0591304,0.17197,93,888,981
23,1,0,0,1,0.0965217,0.2466,150,836,986
24,1,1,1,1,0.0973913,0.15833,86,1330,1416
25,1,2,1,2,0.223478,0.129796,186,1799,1985
26,1,3,1,3,0.2175,0.29385,34,472,506
27,1,4,1,1,0.195,0.113837,15,416,431
28,1,5,1,2,0.203478,0.1233,38,1129,1167
29,1,6,0,1,0.196522,0.145365,123,975,1098
30,1,0,0,1,0.216522,0.0739826,140,956,1096
31,1,1,1,2,0.180833,0.187192,42,1459,1501
32,1,2,1,2,0.192174,0.053213,47,1313,1360
33,1,3,1,2,0.26,0.264308,72,1454,1526
34,1,4,1,1,0.186957,0.277752,61,1489,1550
35,1,5,1,2,0.211304,0.127839,88,1620,1708
36,1,6,0,2,0.233333,0.161079,100,905,1005
37,1,0,0,1,0.285833,0.1418,354,1269,1623
38,1,1,1,1,0.271667,0.0454083,120,1592,1712
39,1,2,1,1,0.220833,0.36195,64,1466,1530
40,1,3,1,2,0.134783,0.188839,53,1552,1605
41,1,4,1,1,0.144348,0.221935,47,1491,1538
42,1,5,1,1,0.189091,0.10855,149,1597,1746
43,1,6,0,1,0.2225,0.203367,288,1184,1472
44,1,0,0,1,0.316522,0.260883,397,1192,1589
45,1,1,1,1,0.415,0.417908,208,1705,1913
46,1,2,1,1,0.266087,0.291374,140,1675,1815
47,1,3,1,1,0.318261,0.251791,218,1897,2115
48,1,4,1,1,0.435833,0.230104,259,2216,2475
49,1,5,1,1,0.521667,0.264925,579,2348,2927
50,1,6,0,1,0.399167,0.507463,532,1103,1635
51,1,0,0,1,0.285217,0.223235,639,1173,1812
52,1,1,0,2,0.303333,0.307846,195,912,1107
53,1,2,1,1,0.182222,0.195683,74,1376,1450
54,1,3,1,1,0.221739,0.094113,139,1778,1917
55,1,4,1,2,0.295652,0.250496,100,1707,1807
56,1,5,1,2,0.364348,0.346539,120,1341,1461
57,1,6,0,1,0.2825,0.186571,424,1545,1969
58,1,0,0,1,0.343478,0.125248,694,1708,2402
59,1,1,1,2,0.407273,0.289686,81,1365,1446
60,1,2,1,1,0.266667,0.216425,137,1714,1851
61,1,3,1,1,0.335,0.307833,231,1903,2134
62,1,4,1,1,0.198333,0.225754,123,1562,1685
63,1,5,1,2,0.261667,0.203346,214,1730,1944
64,1,6,0,2,0.384167,0.251871,640,1437,2077
65,1,0,0,2,0.376522,0.343287,114,491,605
66,1,1,1,1,0.261739,0.341352,244,1628,1872
67,1,2,1,1,0.2925,0.12065,316,1817,2133
68,1,3,1,2,0.295833,0.22015,191,1700,1891
69,1,4,1,3,0.389091,0.261877,46,577,623
70,1,5,1,2,0.316522,0.23297,247,1730,1977
71,1,6,0,1,0.329167,0.220775,724,1408,2132
72,1,0,0,1,0.384348,0.270604,982,1435,2417
73,1,1,1,1,0.325217,0.136926,359,1687,2046
74,1,2,1,2,0.317391,0.184309,289,1767,2056
75,1,3,1,2,0.365217,0.203117,321,1871,2192
76,1,4,1,1,0.415,0.209579,424,2320,2744
77,1,5,1,1,0.54,0.231017,884,2355,3239
78,1,6,0,1,0.4725,0.368167,1424,1693,3117
79,1,0,0,1,0.3325,0.207721,1047,1424,2471
80,2,1,1,2,0.430435,0.288783,401,1676,2077
81,2,2,1,1,0.441667,0.22575,460,2243,2703
82,2,3,1,2,0.346957,0.234261,203,1918,2121
83,2,4,1,2,0.285,0.243787,166,1699,1865
84,2,5,1,1,0.264167,0.230725,300,1910,2210
85,2,6,0,1,0.265833,0.209571,981,1515,2496
86,2,0,0,2,0.253043,0.1843,472,1221,1693
87,2,1,1,1,0.264348,0.212204,222,1806,2028
88,2,2,1,1,0.3025,0.226996,317,2108,2425
89,2,3,1,2,0.3,0.172888,168,1368,1536
90,2,4,1,3,0.268333,0.217646,179,1506,1685
91,2,5,1,2,0.3,0.258708,307,1920,2227
92,2,6,0,2,0.315,0.197146,898,1354,2252
93,2,0,0,1,0.378333,0.182213,1651,1598,3249
94,2,1,1,1,0.573333,0.385571,734,2381,3115
95,2,2,1,2,0.414167,0.388067,167,1628,1795
96,2,3,1,1,0.390833,0.263063,413,2395,2808
97,2,4,1,1,0.4375,0.162312,571,2570,3141
98,2,5,1,2,0.335833,0.226992,172,1299,1471
99,2,6,0,2,0.3425,0.133083,879,1576,2455
100,2,0,0,2,0.426667,0.146767,1188,1707,2895
101,2,1,1,2,0.595652,0.324474,855,2493,3348
102,2,2,1,2,0.5025,0.274879,257,1777,2034
103,2,3,1,2,0.4125,0.250617,209,1953,2162
104,2,4,1,1,0.4675,0.1107,529,2738,3267
105,2,5,0,1,0.446667,0.226375,642,2484,3126
106,2,6,0,3,0.430833,0.340808,121,674,795
107,2,0,0,1,0.456667,0.303496,1558,2186,3744
108,2,1,1,1,0.5125,0.163567,669,2760,3429
109,2,2,1,2,0.505833,0.157971,409,2795,3204
110,2,3,1,1,0.595,0.241925,613,3331,3944
111,2,4,1,1,0.459167,0.325258,745,3444,4189
112,2,5,1,2,0.336667,0.219521,177,1506,1683
113,2,6,0,2,0.46,0.230725,1462,2574,4036
114,2,0,0,2,0.581667,0.192175,1710,2481,4191
115,2,1,1,1,0.606667,0.185333,773,3300,4073
116,2,2,1,1,0.631667,0.3265,678,3722,4400
117,2,3,1,2,0.62,0.3122,547,3325,3872
118,2,4,1,2,0.6175,0.320908,569,3489,4058
119,2,5,1,1,0.51,0.240063,878,3717,4595
120,2,6,0,1,0.4725,0.235075,1965,3347,5312
121,2,0,0,2,0.451667,0.106354,1138,2213,3351
122,2,1,1,2,0.549167,0.183454,847,3554,4401
123,2,2,1,2,0.616667,0.342667,603,3848,4451
124,2,3,1,2,0.414167,0.328996,255,2378,2633
125,2,4,1,1,0.459167,0.295392,614,3819,4433
126,2,5,1,1,0.479167,0.228246,894,3714,4608
127,2,6,0,1,0.52,0.16045,1612,3102,4714
128,2,0,0,1,0.528333,0.0746375,1401,2932,4333
129,2,1,1,1,0.5325,0.176,664,3698,4362
130,2,2,1,1,0.5325,0.115671,694,4109,4803
131,2,3,1,1,0.5425,0.120642,550,3632,4182
132,2,4,1,1,0.535,0.189667,695,4169,4864
133,2,5,1,2,0.5125,0.179725,692,3413,4105
134,2,6,0,2,0.520833,0.13495,902,2507,3409
135,2,0,0,2,0.5625,0.152979,1582,2971,4553
136,2,1,1,1,0.5775,0.126871,773,3185,3958
137,2,2,1,2,0.561667,0.277354,678,3445,4123
138,2,3,1,2,0.55,0.201492,536,3319,3855
139,2,4,1,2,0.530833,0.108213,735,3840,4575
140,2,5,1,1,0.536667,0.125013,909,4008,4917
141,2,6,0,1,0.6025,0.12065,2258,3547,5805
142,2,0,0,1,0.604167,0.148008,1576,3084,4660
143,2,1,1,2,0.631667,0.233842,836,3438,4274
144,2,2,1,2,0.66,0.207092,659,3833,4492
145,2,3,1,1,0.660833,0.154233,740,4238,4978
146,2,4,1,1,0.708333,0.199642,758,3919,4677
147,2,5,1,1,0.681667,0.240679,871,3808,4679
148,2,6,0,1,0.655833,0.230092,2001,2757,4758
149,2,0,0,1,0.6675,0.213938,2355,2433,4788
150,2,1,0,1,0.733333,0.131225,1549,2549,4098
151,2,2,1,1,0.775,0.111329,673,3309,3982
152,2,3,1,2,0.764167,0.207092,513,3461,3974
153,2,4,1,1,0.715,0.292287,736,4232,4968
154,2,5,1,1,0.62,0.253121,898,4414,5312
155,2,6,0,1,0.635,0.123142,1869,3473,5342
156,2,0,0,2,0.648333,0.138692,1685,3221,4906
157,2,1,1,1,0.678333,0.121896,673,3875,4548
158,2,2,1,1,0.7075,0.187808,763,4070,4833
159,2,3,1,1,0.775833,0.136817,676,3725,4401
160,2,4,1,2,0.808333,0.149883,563,3352,3915
161,2,5,1,1,0.755,0.140554,815,3771,4586
162,2,6,0,1,0.725,0.15485,1729,3237,4966
163,2,0,0,1,0.6925,0.163567,1467,2993,4460
164,2,1,1,1,0.635,0.30535,863,4157,5020
165,2,2,1,1,0.604167,0.269283,727,4164,4891
166,2,3,1,1,0.626667,0.167912,769,4411,5180
167,2,4,1,2,0.628333,0.206471,545,3222,3767
168,2,5,1,1,0.649167,0.143029,863,3981,4844
169,2,6,0,1,0.696667,0.119408,1807,3312,5119
170,2,0,0,2,0.699167,0.102,1639,3105,4744
171,2,1,1,2,0.635,0.155475,699,3311,4010
172,3,2,1,2,0.680833,0.171025,774,4061,4835
173,3,3,1,1,0.733333,0.172262,661,3846,4507
174,3,4,1,2,0.728333,0.238804,746,4044,4790
175,3,5,1,1,0.724167,0.222025,969,4022,4991
176,3,6,0,1,0.695,0.209571,1782,3420,5202
177,3,0,0,1,0.68,0.0945333,1920,3385,5305
178,3,1,1,2,0.6825,0.107588,854,3854,4708
179,3,2,1,1,0.744167,0.144283,732,3916,4648
180,3,3,1,1,0.728333,0.261821,848,4377,5225
181,3,4,1,1,0.696667,0.185312,1027,4488,5515
182,3,5,1,1,0.7225,0.102608,1246,4116,5362
183,3,6,0,1,0.738333,0.115062,2204,2915,5119
184,3,0,0,2,0.716667,0.228858,2282,2367,4649
185,3,1,0,2,0.726667,0.0814792,3065,2978,6043
186,3,2,1,1,0.746667,0.126258,1031,3634,4665
187,3,3,1,1,0.72,0.149883,784,3845,4629
188,3,4,1,1,0.75,0.1592,754,3838,4592
189,3,5,1,2,0.709167,0.225129,692,3348,4040
190,3,6,0,1,0.733333,0.167912,1988,3348,5336
191,3,0,0,1,0.7475,0.183471,1743,3138,4881
192,3,1,1,1,0.7625,0.282337,723,3363,4086
193,3,2,1,1,0.794167,0.200254,662,3596,4258
194,3,3,1,1,0.746667,0.146133,748,3594,4342
195,3,4,1,1,0.680833,0.240667,888,4196,5084
196,3,5,1,1,0.663333,0.182833,1318,4220,5538
197,3,6,0,1,0.686667,0.208342,2418,3505,5923
198,3,0,0,1,0.719167,0.245033,2006,3296,5302
199,3,1,1,1,0.746667,0.215804,841,3617,4458
200,3,2,1,1,0.776667,0.1306,752,3789,4541
201,3,3,1,1,0.768333,0.113817,644,3688,4332
202,3,4,1,2,0.815,0.222021,632,3152,3784
